OBJECTID,ID,LENGTH,AFC_NUMBER,ROADTYPE,NUMBER,PRIMARY_NA,ALT_NAME_1,ALT_NAME_2,LOCAL_NAME,STATE,CCSTYLE,ALTFUEL_RO,EV_ROUND,EV,ELECTRICVE,CNG_ROUND,CNG,COMNATURAL,LNG_ROUND,LNG,LIQNATURAL,LPG_ROUND,LPG,PROPANE,HY_ROUND,HY,HYDROGEN,Len_miles,Not_NHS,ShapeSTLength
362,321,63.54,82,I,82,I82, , , ,WA,1,35,5,1,Signage Ready,0,0, ,0,0, ,5,2,Signage Pending,0,0, ,63.54014353,0,147539.367232457
363,630,348.32,101,U,101,U101, , ,OREGON COAST HWY,OR,3,1,1,1,Signage Ready,0,0, ,0,0, ,0,0, ,0,0, ,348.32331975,0,781086.842718706
364,644,85.32,84,I,84,I84,U30, ,COLUMBIA RIVER HWY,OR,1,16,1,1,Signage Ready,1,2,Signage Pending,1,2,Signage Pending,0,0, ,6,2,Signage Pending,85.31516093,0,196070.749629614
365,649,127.38,5,I,5,I5, , ,PACIFIC HWY,WA,1,1,1,1,Signage Ready,1,1,Signage Ready,1,2,Signage Pending,5,1,Signage Ready,5,2,Signage Pending,127.38415821,0,298106.193885463
366,633,59.42,5,I,5,I5, , ,PACIFIC HWY,OR,1,1,1,1,Signage Ready,1,2,Signage Pending,1,2,Signage Pending,5,2,Signage  Pending,5,2,Signage Pending,59.41696654,0,132162.073339174
367,631,77.05,5,I,5,I5, , ,PACIFIC HWY,OR,1,1,1,1,Signage Ready,1,2,Signage Pending,1,2,Signage Pending,5,2,Signage  Pending,5,2,Signage Pending,77.05471501,0,169058.468147389
368,632,57.95,5,I,5,I5, , , ,OR,1,1,1,1,Signage Ready,1,2,Signage Pending,1,2,Signage Pending,5,2,Signage  Pending,5,2,Signage Pending,57.94927382,0,126135.4946527
369,635,32.82,5,I,5,I5,S99E, ,PACIFIC HWY,OR,1,1,1,1,Signage Ready,1,1,Signage Ready,1,2,Signage Pending,5,1,Signage Ready,5,2,Signage Pending,32.81631055,0,74813.3276305121
370,637,16.95,5,I,5,I5, , ,PACIFIC HWY,OR,1,1,1,1,Signage Ready,1,1,Signage Ready,1,2,Signage Pending,5,1,Signage Ready,5,2,Signage Pending,16.94785532,0,38875.0854579631
371,634,56.11,5,I,5,I5, , ,PACIFIC HWY,OR,1,1,1,1,Signage Ready,1,1,Signage Ready,1,2,Signage Pending,5,1,Signage Ready,5,2,Signage Pending,56.11361845,0,126438.952845961
372,641,5.25,5,I,5,I5, , ,PACIFIC HWY,OR,1,1,1,1,Signage Ready,0,0, ,1,2,Signage Pending,5,1,Signage Ready,5,2,Signage Pending,5.24770705,0,12085.2644648241
373,639,1.6,5,I,5,I5, , ,PACIFIC HWY,OR,1,1,1,1,Signage Ready,1,1,Signage Ready,1,2,Signage Pending,5,1,Signage Ready,5,2,Signage Pending,1.59945474,0,3677.19717621353
374,638,0.46,5,I,5,I5, , ,PACIFIC HWY,OR,1,1,1,1,Signage Ready,1,1,Signage Ready,1,2,Signage Pending,5,1,Signage Ready,5,2,Signage Pending,0.46456614,0,1068.33657177797
375,640,1.45,5,I,5,I5,U30, ,PACIFIC HWY,OR,1,1,1,1,Signage Ready,1,1,Signage Ready,1,2,Signage Pending,5,1,Signage Ready,5,2,Signage Pending,1.45051768,0,3336.24746682374
376,646,59.29,101,U,101,U101, , , ,WA,3,1,1,2,Signage Pending,0,0, ,0,0, ,0,0, ,0,0, ,59.28710686,0,139414.870620337
377,647,174.63,101,U,101,U101, , , ,WA,3,1,1,2,Signage Pending,0,0, ,0,0, ,0,0, ,0,0, ,174.62920046,0,417053.813800557
378,652,47.15,5,I,5,I5, , , ,WA,1,1,1,1,Signage Ready,1,2,Signage Pending,1,2,Signage Pending,5,1,Signage Ready,5,2,Signage Pending,47.15340135,0,114580.640375267
379,645,0.43,101,U,101,U101, , , ,OR,3,1,1,1,Signage Ready,0,0, ,0,0, ,0,0, ,0,0, ,0.43227909,0,1008.63395455351
380,650,54.99,5,I,5,I5, , , ,WA,1,1,1,1,Signage Ready,1,1,Signage Ready,1,2,Signage Pending,5,1,Signage Ready,5,2,Signage Pending,54.98532573,0,131470.830724307
381,648,4.88,101,U,101,U101, , , ,WA,3,1,1,2,Signage Pending,0,0, ,0,0, ,0,0, ,0,0, ,4.88498937,0,11490.8810331859
382,651,0.25,90,I,90,I90, , , ,WA,1,35,5,1,Signage Ready,0,0, ,0,0, ,5,2,Signage Pending,5,2,Signage Pending,0.24830634,0,588.006377280689
383,307,45.91,5,I,5,I5, , , ,WA,1,1,1,1,Signage Ready,1,2,Signage Pending,1,2,Signage Pending,5,2,Signage Pending,5,2,Signage Pending,45.91187495,0,112511.727652179
384,311,93.31,97,U,97,U97, , , ,OR,3,4,4,2,Signage Pending,0,0, ,0,0, ,0,0, ,0,0, ,93.3069205,0,212978.268853183
385,309,41.9,97,U,97,U97, , , ,OR,3,4,4,1,Signage Ready,0,0, ,0,0, ,0,0, ,0,0, ,41.89538907,0,94225.2078762127
386,322,68.79,90,I,90,I90, , , ,WA,1,35,5,2,Signage Pending,0,0, ,0,0, ,5,2,Signage Pending,5,2,Signage Pending,68.78549102,0,161668.856529509
387,363,102.69,40,I,40,I40, , ,I-40,AZ,1,2,5,2,Signage Pending,2,2,Signage Pending,2,2,Signage Pending,5,1,Signage Ready,0,0, ,102.69422241,0,202943.911102356
388,368,20.18,84,I,84,I84, , , ,UT,1,14,4,2,Signage Pending,4,2,Signage Pending,1,1,Signage Ready,4,1,Signage Ready,0,0, ,20.18043048,0,43801.0229970084
389,481,25.27,80,I,80,I80,I,80, ,WY,1,2,2,2,Signage Pending,2,2,Signage Pending,0,0, ,0,0, ,0,0, ,25.26734907,0,54629.2202179035
390,537,37.78,25,I,25,I25,I,25, ,WY,1,2,2,2,Signage Pending,0,0, ,0,0, ,0,0, ,0,0, ,37.78240697,0,81591.988261221
391,836,327.12,90,I,90,I90, , , ,MT,1,4,4,2,Signage Pending,0,0, ,0,0, ,0,0, ,0,0, ,327.11519437,0,752887.873068209
392,855,20.99,15,I,15,I15,I84, , ,UT,1,1,1,2,Signage Pending,1,1,Signage Ready,1,1,Signage Ready,1,2,Signage Pending,0,0, ,20.99019735,0,45135.8269737749
393,862,49.51,70,I,70,I70, , , ,UT,1,1,1,2,Signage Pending,1,2,Signage Pending,1,2,Signage Pending,1,2,Signage Pending,0,0, ,49.508123,0,102948.385046813
394,344,62.28,95,U,95,U95, , , ,NV,3,1,1,2,Signage Pending,1,2,Signage Pending,1,2,Signage Pending,0,0, ,0,0, ,62.27984124,0,126021.160852001
395,349,136.61,40,I,40,I40,U89, ,I-40,AZ,1,2,5,2,Signage Pending,2,1,Signage Ready,2,2,Signage Pending,5,1,Signage Ready,5,2,Signage Pending,136.61101297,0,269877.298440737
396,364,132.91,15,I,15,I15, , , ,UT,1,1,1,1,Signage Ready,1,1,Signage Ready,1,1,Signage Ready,1,2,Signage Pending,0,0, ,132.90748146,0,269910.316602063
397,367,116.81,80,I,80,I80, , , ,UT,1,1,1,2,Signage Pending,1,2,Signage Pending,1,2,Signage Pending,1,1,Signage Ready,0,0, ,116.80934716,0,249478.342467753
398,860,123.03,191,S,191,U191, , , ,UT,4,4,4,2,Signage Pending,4,2,Signage Pending,0,0, ,0,0, ,0,0, ,123.03441406,0,249560.557727422
399,341,64.75,10,I,10,I10, , , ,CA,1,15,1,2,Signage Pending,1,1,Signage Ready,1,2,Signage Pending,0,0, ,5,2,Signage Pending,64.74860208,0,125883.057838839
400,343,153.78,40,I,40,I40, , , ,CA,1,1,1,2,Signage Pending,0,0, ,1,1,Signage Ready,0,0, ,1,2,Signage Pending,153.78399546,0,303097.548799268
401,345,134.69,95,U,95,U93,U95, , ,NV,3,1,1,2,Signage Pending,1,2,Signage Pending,1,2,Signage Pending,0,0, ,0,0, ,134.68940428,0,271105.15546352
402,347,57.66,95,U,95,U95, , , ,NV,3,14,1,2,Signage Pending,1,2,Signage Pending,1,2,Signage Pending,4,1,Signage Ready,0,0, ,57.66152176,0,113570.601171739
403,350,43.48,15,I,15,I15, , , ,NV,1,14,1,1,Signage Ready,4,1,Signage Ready,1,2,Signage Pending,4,1,Signage Ready,0,0, ,43.48212935,0,86058.0164905477
404,338,20.57,111,S,111,S111,S,111, ,CA,4,2,2,1,Signage Ready,2,1,Signage Ready,0,0, ,0,0, ,0,0, ,20.56902004,0,39942.4639987865
405,342,101.1,15,I,15,I15, , , ,CA,1,15,5,2,Signage Pending,1,2,Signage Pending,1,1,Signage Ready,0,0, ,1,2,Signage Pending,101.09690813,0,199904.4058345
406,327,10.19,215,I,215,I215,I,215, ,CA,1,2,2,1,Signage Ready,2,1,Signage Ready,2,2,Signage Pending,0,0, ,0,0, ,10.18852635,0,19758.9331113562
407,328,7.47,215,I,215,I215,I,215, ,CA,1,2,2,1,Signage Ready,2,1,Signage Ready,2,1,Signage Ready,0,0, ,0,0, ,7.46503942,0,14439.2228576936
408,329,5.13,215,I,215,I215,I,215, ,CA,1,2,0,0, ,0,0, ,2,2,Signage Pending,0,0, ,0,0, ,5.12632797,0,9993.05378103457
409,330,4.59,215,I,215,I215,I,215, ,CA,1,2,2,1,Signage Ready,0,0, ,2,2,Signage Pending,0,0, ,0,0, ,4.58683437,0,8911.44227828528
410,331,12.36,395,U,395,U395,U,395, ,CA,3,2,2,2,Signage Pending,0,0, ,0,0, ,0,0, ,0,0, ,12.36180032,0,24032.7695937931
411,334,9.57,111,S,111,S111,S,111, ,CA,4,2,2,2,Signage Pending,2,2,Signage Pending,0,0, ,0,0, ,0,0, ,9.57447626,0,18612.5416278519
412,335,4.56,111,S,111,S111,S,111, ,CA,4,2,2,1,Signage Ready,2,2,Signage Pending,0,0, ,0,0, ,0,0, ,4.56274674,0,8860.33666195697
413,337,10.16,58,S,58,S58,S,58, ,CA,4,25,5,2,Signage Pending,2,1,Signage Ready,0,0, ,0,0, ,0,0, ,10.16202949,0,20059.8407995656
414,2272,30.41,10,I,10,I10, , , ,CA,1,15,1,1,Signage Ready,1,1,Signage Ready,1,2,Signage Pending,0,0, ,5,2,Signage Pending,30.413492,0,59141.6913640595
415,339,10,111,S,111,S111,S,111, ,CA,4,2,2,2,Signage Pending,2,2,Signage Pending,0,0, ,0,0, ,0,0, ,9.99585889,0,19308.6527582645
416,340,2.45,111,S,86,S86,S,86, ,CA,4,2,2,1,Signage Ready,2,2,Signage Pending,0,0, ,0,0, ,0,0, ,2.44591815,0,4734.84313213099
417,346,5.26,10,I,10,I10, , ,PAPAGO FRWY,CA,1,15,1,2,Signage Pending,1,1,Signage Ready,0,0, ,0,0, ,5,2,Signage Pending,5.26246025,0,10229.3547044429
418,348,10.23,40,I,40,I40,S95, ,I-40,AZ,1,2,5,2,Signage Pending,2,2,Signage Pending,2,2,Signage Pending,5,1,Signage Ready,5,2,Signage Pending,10.23036427,0,20173.4432612594
419,352,81.07,15,I,15,I15, , , ,NV,1,14,1,1,Signage Ready,4,1,Signage Ready,1,2,Signage Pending,5,1,Signage Ready,0,0, ,81.07051759,0,162826.874759244
420,351,14.76,515,I,515,I515,U95, , ,NV,3,14,1,2,Signage Pending,1,2,Signage Pending,1,2,Signage Pending,4,1,Signage Ready,0,0, ,14.75921118,0,29403.8309764287
421,2259,29.28,15,I,15,I15, , ,I-15,AZ,1,15,1,1,Signage Ready,5,1,Signage Ready,0,0, ,5,1,Signage Ready,5,2,Signage Pending,29.28440551,0,59169.316078275
422,354,82.18,50,U,50,U6,U50,U93, ,NV,3,1,1,2,Signage Pending,1,2,Signage Pending,1,2,Signage Pending,0,0, ,0,0, ,82.18173209,0,171551.333169023
423,357,106.96,80,I,80,I80, , , ,NV,1,4,1,2,Signage Pending,1,2,Signage Pending,1,2,Signage Pending,4,1,Signage Ready,0,0, ,106.95810186,0,228767.08800633
424,2261,2.71,80,I,80,I80,U95, , ,NV,1,14,1,2,Signage Pending,1,2,Signage Pending,1,2,Signage Pending,4,1,Signage Ready,0,0, ,2.71490894,0,5796.65903596492
425,356,62.7,50,U,50,U6,U50, , ,NV,3,1,1,2,Signage Pending,1,2,Signage Pending,1,2,Signage Pending,0,0, ,0,0, ,62.70314237,0,130216.588504506
426,362,60.57,40,I,40,I40,U180, ,I-40,AZ,1,25,5,1,Signage Ready,2,1,Signage Ready,2,2,Signage Pending,5,1,Signage Ready,0,0, ,60.57451893,0,119897.727689986
427,359,69.58,17,I,17,I17, , ,I-17,AZ,1,25,5,2,Signage Pending,2,2,Signage Pending,0,0, ,5,1,Signage Ready,5,2,Signage Pending,69.58074896,0,135412.278017152
428,361,47.2,40,I,40,I40, , ,I-40,AZ,1,2,5,2,Signage Pending,2,1,Signage Ready,2,2,Signage Pending,5,1,Signage Ready,5,2,Signage Pending,47.1990991,0,93545.3185308397
429,360,40.51,17,I,17,I17, , ,I-17,AZ,1,25,5,2,Signage Pending,2,2,Signage Pending,0,0, ,5,1,Signage Ready,5,2,Signage Pending,40.50623363,0,79373.5143293757
430,366,56.78,15,I,15,I15, , , ,UT,1,1,1,2,Signage Pending,1,1,Signage Ready,1,1,Signage Ready,1,2,Signage Pending,0,0, ,56.78281889,0,118182.799790952
431,856,49.8,80,I,80,I80,U30, , ,UT,1,1,1,2,Signage Pending,1,2,Signage Pending,1,2,Signage Pending,1,1,Signage Ready,0,0, ,49.80434979,0,106143.748377243
432,857,101.34,70,I,70,I70,U6, , ,UT,1,1,1,2,Signage Pending,1,2,Signage Pending,1,2,Signage Pending,1,2,Signage Pending,0,0, ,101.34379132,0,210541.90111728
433,858,126.97,6,S,6,U6, , , ,UT,4,4,4,2,Signage Pending,4,1,Signage Ready,0,0, ,0,0, ,0,0, ,126.96524628,0,265367.331514388
434,365,39.28,70,I,70,I70, , , ,UT,1,1,1,2,Signage Pending,1,2,Signage Pending,1,2,Signage Pending,1,2,Signage Pending,0,0, ,39.27700782,0,81111.0849927684
435,2262,56.51,15,I,15,I15, , , ,UT,1,1,1,1,Signage Ready,1,1,Signage Ready,1,1,Signage Ready,1,2,Signage Pending,0,0, ,56.50679715,0,116614.589542038
436,369,39.01,84,I,84,I84, , , ,UT,1,14,4,2,Signage Pending,4,2,Signage Pending,1,1,Signage Ready,4,1,Signage Ready,0,0, ,39.00740781,0,84042.2185728591
437,851,32.7,15,I,15,I15, , , ,UT,1,1,1,1,Signage Ready,1,1,Signage Ready,1,1,Signage Ready,1,1,Signage Ready,0,0, ,32.7029775,0,69460.1740498073
438,845,45.03,15,I,15,I15, , , ,UT,1,1,1,1,Signage Ready,1,1,Signage Ready,1,1,Signage Ready,1,1,Signage Ready,0,0, ,45.03062997,0,94917.9599860346
439,850,24.05,80,I,80,I80,U189, , ,UT,1,1,1,1,Signage Ready,1,2,Signage Pending,1,2,Signage Pending,1,1,Signage Ready,0,0, ,24.05383523,0,51307.2147310736
440,2263,15.25,15,I,15,I15, , , ,UT,1,1,1,1,Signage Ready,1,1,Signage Ready,1,1,Signage Ready,1,2,Signage Pending,0,0, ,15.24839283,0,31982.0694624281
441,846,15.54,215,I,215,I215, , , ,UT,1,4,4,1,Signage Ready,4,2,Signage Pending,0,0, ,4,2,Signage Pending,0,0, ,15.54032447,0,33000.8723660361
442,848,1.92,80,I,80,I80, , , ,UT,1,1,1,1,Signage Ready,1,2,Signage Pending,1,2,Signage Pending,1,1,Signage Ready,0,0, ,1.92002421,0,4106.77505789115
443,849,8.45,215,I,215,I215, , , ,UT,1,4,4,1,Signage Ready,4,1,Signage Ready,0,0, ,4,1,Signage Ready,0,0, ,8.44827351,0,17897.7974845991
444,370,5.1,215,I,215,I215, , , ,UT,1,4,4,1,Signage Ready,4,2,Signage Pending,0,0, ,4,2,Signage Pending,0,0, ,5.09655746,0,10755.4501512202
445,847,3.34,15,I,15,I15,I80, , ,UT,1,1,1,1,Signage Ready,1,1,Signage Ready,1,1,Signage Ready,1,1,Signage Ready,0,0, ,3.34019874,0,7059.84174501224
446,852,22.66,84,I,84,I84, , , ,UT,1,4,4,1,Signage Ready,4,1,Signage Ready,1,1,Signage Ready,4,1,Signage Ready,0,0, ,22.65663097,0,48334.4396294942
447,853,38.04,84,I,84,I84, , , ,UT,1,4,4,1,Signage Ready,4,2,Signage Pending,0,0, ,4,2,Signage Pending,0,0, ,38.03554621,0,81404.3446331299
448,859,35.08,191,S,191,U191, , , ,UT,4,4,4,2,Signage Pending,4,1,Signage Ready,0,0, ,0,0, ,0,0, ,35.07901511,0,72182.0641901623
449,861,23.99,70,I,70,I70, , , ,UT,1,14,1,2,Signage Pending,4,1,Signage Ready,1,2,Signage Pending,1,2,Signage Pending,0,0, ,23.98946792,0,49959.2163005509
450,865,31.53,80,I,80,I80,I,80, ,WY,1,2,2,2,Signage Pending,2,1,Signage Ready,0,0, ,0,0, ,0,0, ,31.52956859,0,67894.4655463881
451,864,29.44,80,I,80,I80,I,80, ,WY,1,2,2,2,Signage Pending,2,1,Signage Ready,0,0, ,0,0, ,0,0, ,29.44437055,0,63375.4309744226
452,863,5.1,80,I,80,I80,I,80, ,WY,1,2,2,2,Signage Pending,0,0, ,0,0, ,0,0, ,0,0, ,5.10348129,0,10975.7975215067
453,866,26.06,80,I,80,I80,I,80, ,WY,1,2,2,2,Signage Pending,2,1,Signage Ready,0,0, ,0,0, ,0,0, ,26.06448338,0,56335.4893882802
454,867,12.54,80,I,80,I80,I,80, ,WY,1,2,2,2,Signage Pending,2,1,Signage Ready,0,0, ,0,0, ,0,0, ,12.53952761,0,27050.697150956
455,824,217.46,90,I,90,I90, , , ,MT,1,4,4,2,Signage Pending,0,0, ,0,0, ,0,0, ,0,0, ,217.46405608,0,510838.692597392
456,829,53.99,84,I,84,I84,S30, , ,ID,1,4,1,2,Signage Pending,1,2,Signage Pending,1,0, ,4,1,Signage Ready,0,0, ,53.99227863,0,117431.083603422
457,830,61.99,86,I,86,I86, , , ,ID,1,14,1,2,Signage Pending,1,2,Signage Pending,1,0, ,4,2,Signage Pending,0,0, ,61.98550616,0,136154.523782014
458,835,285.31,15,I,15,I15, , , ,MT,1,4,4,2,Signage Pending,0,0, ,0,0, ,0,0, ,0,0, ,285.31116254,0,662801.951841968
459,904,13.73,95,U,95,U95, , , ,ID,3,4,4,2,Signage Pending,0,0, ,0,0, ,4,2,Signage Pending,0,0, ,13.73060865,0,31946.0834671253
460,882,115.85,84,I,84,I84,U30, , ,ID,1,4,1,2,Signage Pending,1,2,Signage Pending,1,0, ,4,1,Signage Ready,0,0, ,115.84989887,0,254680.967171846
461,889,139.84,93,U,93,U93,U20, , ,ID,3,46,6,2,Signage Pending,0,0, ,0,0, ,4,1,Signage Ready,0,0, ,139.84332766,0,314904.673639855
462,869,13.96,84,I,84,I84, , , ,ID,1,4,1,2,Signage Pending,1,1,Signage Ready,1,0, ,4,1,Signage Ready,0,0, ,13.95622659,0,31100.203374869
463,868,35.81,84,I,84,I84, , , ,ID,1,14,1,2,Signage Pending,1,2,Signage Pending,1,0, ,4,1,Signage Ready,0,0, ,35.80669692,0,79797.0316141936
464,2267,46.21,84,I,84,I84,U30, , ,ID,1,4,1,1,Signage Ready,1,2,Signage Pending,1,0, ,4,1,Signage Ready,0,0, ,46.21116812,0,102323.011670105
465,870,94.67,95,U,95,U95, , , ,ID,3,4,4,2,Signage Pending,0,0, ,0,0, ,4,2,Signage Pending,0,0, ,94.6680697,0,217714.228410479
466,883,61.42,93,U,93,U93,U20, , ,ID,3,46,6,2,Signage Pending,0,0, ,0,0, ,4,1,Signage Ready,0,0, ,61.41876151,0,134887.362803846
467,871,41.75,93,U,93,U93,U20, , ,ID,3,46,6,2,Signage Pending,0,0, ,0,0, ,4,2,Signage Pending,0,0, ,41.7473581,0,90474.402132821
468,876,4.79,93,U,93,U93,U20, , ,ID,3,46,6,2,Signage Pending,0,0, ,0,0, ,4,2,Signage Pending,0,0, ,4.79127467,0,10518.5986106029
469,877,3.64,93,U,93,U93,U20, , ,ID,3,46,6,2,Signage Pending,0,0, ,0,0, ,4,2,Signage Pending,0,0, ,3.64055656,0,7994.7110375987
470,872,0.48,93,U,93,U93,U20, , ,ID,3,46,6,2,Signage Pending,0,0, ,0,0, ,4,2,Signage Pending,0,0, ,0.48140665,0,1047.62481523709
471,873,1.6,93,U,93,U93,U20, , ,ID,3,46,6,2,Signage Pending,0,0, ,0,0, ,4,2,Signage Pending,0,0, ,1.6015275,0,3487.84480790246
472,874,0.02,93,U,93,U93,U20, , ,ID,3,46,6,2,Signage Pending,0,0, ,0,0, ,4,2,Signage Pending,0,0, ,0.01783418,0,39.1508720530493
473,875,0.04,93,U,93,U93,U20, , ,ID,3,46,6,2,Signage Pending,0,0, ,0,0, ,4,2,Signage Pending,0,0, ,0.03587006,0,78.7676555850664
474,880,2.02,93,U,93,U93,U20, , ,ID,3,46,6,2,Signage Pending,0,0, ,0,0, ,4,2,Signage Pending,0,0, ,2.02290515,0,4442.77945899385
475,881,3,93,U,93,U93,U20, , ,ID,3,46,6,2,Signage Pending,0,0, ,0,0, ,4,2,Signage Pending,0,0, ,3.00109225,0,6550.88279330435
476,878,0.01,93,U,93,U93,U20, , ,ID,3,46,6,2,Signage Pending,0,0, ,0,0, ,4,2,Signage Pending,0,0, ,0.01467126,0,31.9251234026535
477,884,10.51,84,I,84,I84,U30, , ,ID,1,4,1,2,Signage Pending,1,2,Signage Pending,1,0, ,4,1,Signage Ready,0,0, ,10.50512247,0,23064.3998220216
478,888,42.16,93,U,93,U93,U20, , ,ID,3,46,6,2,Signage Pending,0,0, ,0,0, ,4,1,Signage Ready,0,0, ,42.15546218,0,93557.4884989071
479,886,0.37,93,U,93,U93,U20, , ,ID,3,46,6,2,Signage Pending,0,0, ,0,0, ,4,1,Signage Ready,0,0, ,0.36898358,0,813.548088172388
480,885,1.01,93,U,93,U93,U20, , ,ID,3,46,6,2,Signage Pending,0,0, ,0,0, ,4,1,Signage Ready,0,0, ,1.00943806,0,2225.24274383012
481,887,0.62,93,U,93,U93,U20, , ,ID,3,46,6,2,Signage Pending,0,0, ,0,0, ,4,1,Signage Ready,0,0, ,0.62234676,0,1372.35654141662
482,890,45.4,93,U,93,U93, , , ,ID,3,46,6,2,Signage Pending,0,0, ,0,0, ,4,2,Signage Pending,0,0, ,45.39931415,0,104206.385301773
483,908,42.64,95,U,95,U95,U2, , ,ID,3,4,4,2,Signage Pending,0,0, ,0,0, ,4,1,Signage Ready,0,0, ,42.64488824,0,103201.73983468
484,813,34.61,90,I,90,I90, , , ,ID,1,4,1,1,Signage Ready,1,2,Signage Pending,1,0, ,4,2,Signage Pending,0,0, ,34.60848403,0,82243.8680870033
485,899,56.11,95,U,95,U95, , , ,ID,3,4,4,2,Signage Pending,0,0, ,0,0, ,4,2,Signage Pending,0,0, ,56.10684766,0,132918.323548891
486,897,22.42,95,U,95,U95, , , ,ID,3,4,4,2,Signage Pending,0,0, ,0,0, ,4,2,Signage Pending,0,0, ,22.4240732,0,52597.5480008778
487,891,7.23,95,U,95,U95, , , ,ID,3,4,4,2,Signage Pending,0,0, ,0,0, ,4,2,Signage Pending,0,0, ,7.23183883,0,16860.3663061334
488,892,0.44,95,U,95,U95, , , ,ID,3,4,4,2,Signage Pending,0,0, ,0,0, ,4,2,Signage Pending,0,0, ,0.43977418,0,1027.3581349506
489,893,0.44,95,U,95,U95, , , ,ID,3,4,4,2,Signage Pending,0,0, ,0,0, ,4,2,Signage Pending,0,0, ,0.44245082,0,1033.64948003869
490,894,0.13,95,U,95,U95, , , ,ID,3,4,4,2,Signage Pending,0,0, ,0,0, ,4,2,Signage Pending,0,0, ,0.13430217,0,312.461101078308
491,895,1.93,95,U,95,U95, , , ,ID,3,4,4,2,Signage Pending,0,0, ,0,0, ,4,2,Signage Pending,0,0, ,1.93499728,0,4503.55327457167
492,896,1.21,95,U,95,U95, , , ,ID,3,4,4,2,Signage Pending,0,0, ,0,0, ,4,2,Signage Pending,0,0, ,1.20710683,0,2808.859775929
493,898,0.72,95,U,95,U95, , , ,ID,3,4,4,2,Signage Pending,0,0, ,0,0, ,4,2,Signage Pending,0,0, ,0.72071993,0,1698.89889781447
494,900,32.61,95,U,95,U95, , , ,ID,3,4,4,2,Signage Pending,0,0, ,0,0, ,4,2,Signage Pending,0,0, ,32.61062994,0,75970.4561790662
495,901,1.55,95,U,95,U95, , , ,ID,3,4,4,2,Signage Pending,0,0, ,0,0, ,4,2,Signage Pending,0,0, ,1.55459462,0,3626.64730731384
496,902,1.79,95,U,95,U95, , , ,ID,3,4,4,2,Signage Pending,0,0, ,0,0, ,4,2,Signage Pending,0,0, ,1.79076819,0,4167.35116611683
497,903,1.76,95,U,95,U95, , , ,ID,3,4,4,2,Signage Pending,0,0, ,0,0, ,4,2,Signage Pending,0,0, ,1.75823933,0,4085.56057714348
498,906,12.04,90,I,90,I90, , , ,ID,1,14,1,1,Signage Ready,1,2,Signage Pending,1,0, ,4,1,Signage Ready,0,0, ,12.0394797,0,28564.5475343009
499,907,26.67,95,U,95,U95, , , ,ID,3,4,4,2,Signage Pending,0,0, ,0,0, ,4,2,Signage Pending,0,0, ,26.6726342,0,63734.6243418674
500,2268,26.37,90,I,90,I90, , , ,ID,1,4,1,2,Signage Pending,1,2,Signage Pending,1,0, ,4,2,Signage Pending,0,0, ,26.37344904,0,62530.5648819457
501,818,32.54,95,U,95,U95,U2, , ,ID,3,4,4,2,Signage Pending,0,0, ,0,0, ,4,1,Signage Ready,0,0, ,32.53622373,0,79567.474136948
502,822,12.12,1,S,1,S1, , , ,ID,4,4,4,2,Signage Pending,0,0, ,0,0, ,4,1,Signage Ready,0,0, ,12.12442047,1,29780.4695638436
503,816,2.93,95,U,95,U95,U2, , ,ID,3,4,4,2,Signage Pending,0,0, ,0,0, ,4,1,Signage Ready,0,0, ,2.93073605,0,7157.20638177709
504,814,0.15,95,U,95,U95,U2, , ,ID,3,4,4,2,Signage Pending,0,0, ,0,0, ,4,1,Signage Ready,0,0, ,0.14899571,0,363.000671079118
505,815,0.36,95,U,95,U95,U2, , ,ID,3,4,4,2,Signage Pending,0,0, ,0,0, ,4,1,Signage Ready,0,0, ,0.36068734,0,872.573318704143
506,817,0.02,95,U,95,U95,U2, , ,ID,3,4,4,2,Signage Pending,0,0, ,0,0, ,4,1,Signage Ready,0,0, ,0.018187,0,44.4763662473678
507,821,11.3,95,U,95,U95,U2, , ,ID,3,4,4,2,Signage Pending,0,0, ,0,0, ,4,1,Signage Ready,0,0, ,11.29699595,0,27830.6777569786
508,828,161.86,93,U,93,U93, , , ,MT,3,4,4,2,Signage Pending,0,0, ,0,0, ,0,0, ,0,0, ,161.85608147,0,385276.498831187
509,833,77.96,15,I,15,I15, , , ,ID,1,4,1,2,Signage Pending,1,2,Signage Pending,1,0, ,4,2,Signage Pending,0,0, ,77.96081276,0,174292.805223078
510,831,72.18,15,I,15,I15, , , ,ID,1,4,1,2,Signage Pending,1,2,Signage Pending,1,0, ,4,1,Signage Ready,0,0, ,72.18416221,0,157091.251191785
511,832,46.62,15,I,15,I15, , , ,ID,1,4,1,1,Signage Ready,1,2,Signage Pending,1,0, ,4,2,Signage Pending,0,0, ,46.61786207,0,102784.859997535
512,837,0.33,90,I,90,I90, , , ,MT,1,4,4,2,Signage Pending,0,0, ,0,0, ,0,0, ,0,0, ,0.3326778,0,775.030169299267
513,474,370.55,40,I,40,I40, , , ,NM,1,4,4,2,Signage Pending,4,2,Signage Pending,4,2,Signage Pending,4,1,Signage Ready,0,0, ,370.55359156,0,733241.074918151
514,477,303.14,160,U,160,U160, , , ,CO,3,4,4,2,Signage Pending,0,0, ,0,0, ,0,0, ,0,0, ,303.14281032,0,616234.891787016
